experiment,child_id,condition,scenario,verb,question,response,distal,proximal,age_days,age_years,age_group,gender
exp1,FXC3NZ,physical,shock,,lexical,proximal,0,1,2010,5.5,5,f
exp1,FXC3NZ,physical,shock,,cause,distal,1,0,2010,5.5,5,f
exp1,FXC3NZ,physical,hurt,,lexical,proximal,0,1,2010,5.5,5,f
exp1,FXC3NZ,physical,hurt,,cause,distal,1,0,2010,5.5,5,f
exp1,G3RHJW,mental,shock,,lexical,distal,1,0,1920,5.26,5,m
exp1,G3RHJW,mental,shock,,cause,distal,1,0,1920,5.26,5,m
exp1,G3RHJW,mental,hurt,,lexical,distal,1,0,1920,5.26,5,m
exp1,G3RHJW,mental,hurt,,cause,distal,1,0,1920,5.26,5,m
exp1,4A3734,mental,hurt,,lexical,distal,1,0,2130,5.83,5,m
exp1,4A3734,mental,hurt,,cause,distal,1,0,2130,5.83,5,m
exp1,4A3734,mental,shock,,lexical,distal,1,0,2130,5.83,5,m
exp1,4A3734,mental,shock,,cause,proximal,0,1,2130,5.83,5,m
exp1,2N3Ldc,physical,hurt,,lexical,proximal,0,1,2490,6.82,6,f
exp1,2N3Ldc,physical,hurt,,cause,distal,1,0,2490,6.82,6,f
exp1,2N3Ldc,physical,shock,,lexical,proximal,0,1,2490,6.82,6,f
exp1,2N3Ldc,physical,shock,,cause,distal,1,0,2490,6.82,6,f
exp1,QJTTU3,physical,hurt,,cause,distal,1,0,2520,6.9,6,o
exp1,QJTTU3,physical,hurt,,lexical,distal,1,0,2520,6.9,6,o
exp1,QJTTU3,physical,shock,,cause,distal,1,0,2520,6.9,6,o
exp1,QJTTU3,physical,shock,,lexical,proximal,0,1,2520,6.9,6,o
exp1,dFTYQ4,physical,hurt,,cause,distal,1,0,2790,7.64,7,m
exp1,dFTYQ4,physical,hurt,,lexical,proximal,0,1,2790,7.64,7,m
exp1,dFTYQ4,physical,shock,,cause,distal,1,0,2790,7.64,7,m
exp1,dFTYQ4,physical,shock,,lexical,proximal,0,1,2790,7.64,7,m
exp1,S7XKTV,physical,shock,,cause,proximal,0,1,1230,3.37,3,f
exp1,S7XKTV,physical,shock,,lexical,proximal,0,1,1230,3.37,3,f
exp1,S7XKTV,physical,hurt,,cause,proximal,0,1,1230,3.37,3,f
exp1,S7XKTV,physical,hurt,,lexical,proximal,0,1,1230,3.37,3,f
