experiment,child_id,condition,scenario,verb,question,response,distal,proximal,age_days,age_years,age_group,gender
exp2,FXC3NZ,physical,shock,,lexical,proximal,0,1,2010,5.5,5,f
exp2,FXC3NZ,physical,shock,,cause,distal,1,0,2010,5.5,5,f
exp2,FXC3NZ,physical,hurt,,lexical,proximal,0,1,2010,5.5,5,f
exp2,FXC3NZ,physical,hurt,,cause,distal,1,0,2010,5.5,5,f
exp2,G3RHJW,mental,shock,,lexical,distal,1,0,1920,5.26,5,m
exp2,G3RHJW,mental,shock,,cause,distal,1,0,1920,5.26,5,m
exp2,G3RHJW,mental,hurt,,lexical,distal,1,0,1920,5.26,5,m
exp2,G3RHJW,mental,hurt,,cause,distal,1,0,1920,5.26,5,m
exp2,4A3734,mental,hurt,,lexical,distal,1,0,2130,5.83,5,m
exp2,4A3734,mental,hurt,,cause,distal,1,0,2130,5.83,5,m
exp2,4A3734,mental,shock,,lexical,distal,1,0,2130,5.83,5,m
exp2,4A3734,mental,shock,,cause,proximal,0,1,2130,5.83,5,m
exp2,2N3Ldc,physical,hurt,,lexical,proximal,0,1,2490,6.82,6,f
exp2,2N3Ldc,physical,hurt,,cause,distal,1,0,2490,6.82,6,f
exp2,2N3Ldc,physical,shock,,lexical,proximal,0,1,2490,6.82,6,f
exp2,2N3Ldc,physical,shock,,cause,distal,1,0,2490,6.82,6,f
exp2,QJTTU3,physical,hurt,,cause,distal,1,0,2520,6.9,6,o
exp2,QJTTU3,physical,hurt,,lexical,distal,1,0,2520,6.9,6,o
exp2,QJTTU3,physical,shock,,cause,distal,1,0,2520,6.9,6,o
exp2,QJTTU3,physical,shock,,lexical,proximal,0,1,2520,6.9,6,o
exp2,dFTYQ4,physical,hurt,,cause,distal,1,0,2790,7.64,7,m
exp2,dFTYQ4,physical,hurt,,lexical,proximal,0,1,2790,7.64,7,m
exp2,dFTYQ4,physical,shock,,cause,distal,1,0,2790,7.64,7,m
exp2,dFTYQ4,physical,shock,,lexical,proximal,0,1,2790,7.64,7,m
exp2,S7XKTV,physical,shock,,cause,proximal,0,1,1230,3.37,3,f
exp2,S7XKTV,physical,shock,,lexical,proximal,0,1,1230,3.37,3,f
exp2,S7XKTV,physical,hurt,,cause,proximal,0,1,1230,3.37,3,f
exp2,S7XKTV,physical,hurt,,lexical,proximal,0,1,1230,3.37,3,f
exp2,ASEWWK,mental,hurt,,cause,proximal,0,1,2580,7.06,7,f
exp2,ASEWWK,mental,hurt,,lexical,proximal,0,1,2580,7.06,7,f
exp2,ASEWWK,mental,shock,,cause,proximal,0,1,2580,7.06,7,f
exp2,ASEWWK,mental,shock,,lexical,proximal,0,1,2580,7.06,7,f
exp2,3KKLWX,mental,shock,,cause,distal,1,0,1500,4.11,4,f
exp2,3KKLWX,mental,shock,,lexical,distal,1,0,1500,4.11,4,f
exp2,3KKLWX,mental,hurt,,cause,distal,1,0,1500,4.11,4,f
exp2,3KKLWX,mental,hurt,,lexical,distal,1,0,1500,4.11,4,f
exp2,WdMdCV,physical,shock,,lexical,proximal,0,1,2100,5.75,5,m
exp2,WdMdCV,physical,shock,,cause,distal,1,0,2100,5.75,5,m
exp2,WdMdCV,physical,hurt,,lexical,proximal,0,1,2100,5.75,5,m
exp2,WdMdCV,physical,hurt,,cause,distal,1,0,2100,5.75,5,m
exp2,YRVcJV,physical,shock,,cause,proximal,0,1,2850,7.8,7,f
exp2,YRVcJV,physical,shock,,lexical,proximal,0,1,2850,7.8,7,f
exp2,YRVcJV,physical,hurt,,cause,distal,1,0,2850,7.8,7,f
exp2,YRVcJV,physical,hurt,,lexical,proximal,0,1,2850,7.8,7,f
exp2,7KKVdH,physical,hurt,,lexical,proximal,0,1,1320,3.61,3,f
exp2,7KKVdH,physical,hurt,,cause,distal,1,0,1320,3.61,3,f
exp2,7KKVdH,physical,shock,,lexical,proximal,0,1,1320,3.61,3,f
exp2,7KKVdH,physical,shock,,cause,distal,1,0,1320,3.61,3,f
exp2,ELHZXP,mental,shock,,cause,distal,1,0,1740,4.76,4,f
exp2,ELHZXP,mental,shock,,lexical,proximal,0,1,1740,4.76,4,f
exp2,ELHZXP,mental,hurt,,cause,proximal,0,1,1740,4.76,4,f
exp2,ELHZXP,mental,hurt,,lexical,distal,1,0,1740,4.76,4,f
exp2,RRKPR4,mental,hurt,,lexical,distal,1,0,3420,9.36,9,f
exp2,RRKPR4,mental,hurt,,cause,proximal,0,1,3420,9.36,9,f
exp2,RRKPR4,mental,shock,,lexical,distal,1,0,3420,9.36,9,f
exp2,RRKPR4,mental,shock,,cause,proximal,0,1,3420,9.36,9,f
exp2,GDFRPF,physical,shock,,cause,proximal,0,1,2760,7.56,7,f
exp2,GDFRPF,physical,shock,,lexical,proximal,0,1,2760,7.56,7,f
exp2,GDFRPF,physical,hurt,,cause,proximal,0,1,2760,7.56,7,f
exp2,GDFRPF,physical,hurt,,lexical,proximal,0,1,2760,7.56,7,f
exp2,QJcFYN,physical,shock,,cause,distal,1,0,2640,7.23,7,f
exp2,QJcFYN,physical,shock,,lexical,proximal,0,1,2640,7.23,7,f
exp2,QJcFYN,physical,hurt,,cause,distal,1,0,2640,7.23,7,f
exp2,QJcFYN,physical,hurt,,lexical,proximal,0,1,2640,7.23,7,f
exp2,6NCUdM,mental,shock,,lexical,distal,1,0,3540,9.69,9,m
exp2,6NCUdM,mental,shock,,cause,proximal,0,1,3540,9.69,9,m
exp2,6NCUdM,mental,hurt,,lexical,distal,1,0,3540,9.69,9,m
exp2,6NCUdM,mental,hurt,,cause,proximal,0,1,3540,9.69,9,m
exp2,5T6Vcd,mental,hurt,,lexical,proximal,0,1,1560,4.27,4,f
exp2,5T6Vcd,mental,hurt,,cause,distal,1,0,1560,4.27,4,f
exp2,5T6Vcd,mental,shock,,lexical,distal,1,0,1560,4.27,4,f
exp2,5T6Vcd,mental,shock,,cause,proximal,0,1,1560,4.27,4,f
exp2,5DQLFY,physical,shock,,cause,distal,1,0,2160,5.91,5,f
exp2,5DQLFY,physical,shock,,lexical,proximal,0,1,2160,5.91,5,f
exp2,5DQLFY,physical,hurt,,cause,distal,1,0,2160,5.91,5,f
exp2,5DQLFY,physical,hurt,,lexical,proximal,0,1,2160,5.91,5,f
exp2,ASY5EV,physical,hurt,,cause,proximal,0,1,2940,8.05,8,m
exp2,ASY5EV,physical,hurt,,lexical,proximal,0,1,2940,8.05,8,m
exp2,ASY5EV,physical,shock,,cause,proximal,0,1,2940,8.05,8,m
exp2,ASY5EV,physical,shock,,lexical,proximal,0,1,2940,8.05,8,m
exp2,CdSRVY,mental,hurt,,cause,distal,1,0,3480,9.53,9,f
exp2,CdSRVY,mental,hurt,,lexical,distal,1,0,3480,9.53,9,f
exp2,CdSRVY,mental,shock,,cause,proximal,0,1,3480,9.53,9,f
exp2,CdSRVY,mental,shock,,lexical,distal,1,0,3480,9.53,9,f
exp2,YKc42V,physical,shock,,cause,distal,1,0,2580,7.06,7,f
exp2,YKc42V,physical,shock,,lexical,distal,1,0,2580,7.06,7,f
exp2,YKc42V,physical,hurt,,cause,distal,1,0,2580,7.06,7,f
exp2,YKc42V,physical,hurt,,lexical,distal,1,0,2580,7.06,7,f
exp2,d7YWEZ,mental,hurt,,lexical,distal,1,0,3390,9.28,9,f
exp2,d7YWEZ,mental,hurt,,cause,distal,1,0,3390,9.28,9,f
exp2,d7YWEZ,mental,shock,,lexical,distal,1,0,3390,9.28,9,f
exp2,d7YWEZ,mental,shock,,cause,distal,1,0,3390,9.28,9,f
exp2,644V4K,mental,shock,,cause,proximal,0,1,3450,9.45,9,m
exp2,644V4K,mental,shock,,lexical,proximal,0,1,3450,9.45,9,m
exp2,644V4K,mental,hurt,,cause,distal,1,0,3450,9.45,9,m
exp2,644V4K,mental,hurt,,lexical,proximal,0,1,3450,9.45,9,m
exp2,YcWZDK,physical,hurt,,cause,distal,1,0,3480,9.53,9,f
