experiment,child_id,condition,scenario,verb,question,response,distal,proximal,age_days,age_years,age_group,gender
exp3,K2SX2X,all,scared,,cause,distal,1,0,2010,5.5,5,f
exp3,K2SX2X,all,scared,,lexical,proximal,0,1,2010,5.5,5,f
exp3,K2SX2X,all,surprised,,cause,distal,1,0,2010,5.5,5,f
exp3,K2SX2X,all,surprised,,lexical,proximal,0,1,2010,5.5,5,f
exp3,ZZTSVK,all,scared,,cause,distal,1,0,2490,6.82,6,m
exp3,ZZTSVK,all,scared,,lexical,proximal,0,1,2490,6.82,6,m
exp3,ZZTSVK,all,surprised,,cause,proximal,0,1,2490,6.82,6,m
exp3,ZZTSVK,all,surprised,,lexical,distal,1,0,2490,6.82,6,m
exp3,BYZGc2,all,surprised,,lexical,proximal,0,1,2520,6.9,6,f
exp3,BYZGc2,all,surprised,,cause,distal,1,0,2520,6.9,6,f
exp3,BYZGc2,all,scared,,lexical,proximal,0,1,2520,6.9,6,f
exp3,BYZGc2,all,scared,,cause,distal,1,0,2520,6.9,6,f
exp3,RNDJYT,all,scared,,lexical,proximal,0,1,2010,5.5,5,f
exp3,RNDJYT,all,scared,,cause,distal,1,0,2010,5.5,5,f
exp3,RNDJYT,all,surprised,,lexical,proximal,0,1,2010,5.5,5,f
exp3,RNDJYT,all,surprised,,cause,distal,1,0,2010,5.5,5,f
exp3,TdXPYL,all,surprised,,cause,proximal,0,1,2520,6.9,6,m
exp3,TdXPYL,all,surprised,,lexical,proximal,0,1,2520,6.9,6,m
exp3,TdXPYL,all,scared,,cause,proximal,0,1,2520,6.9,6,m
exp3,TdXPYL,all,scared,,lexical,proximal,0,1,2520,6.9,6,m
exp3,UEGAc4,all,surprised,,cause,proximal,0,1,1860,5.09,5,f
exp3,UEGAc4,all,surprised,,lexical,proximal,0,1,1860,5.09,5,f
exp3,UEGAc4,all,scared,,cause,proximal,0,1,1860,5.09,5,f
exp3,UEGAc4,all,scared,,lexical,proximal,0,1,1860,5.09,5,f
exp3,cSK4RQ,all,scared,,lexical,distal,1,0,2790,7.64,7,m
exp3,cSK4RQ,all,scared,,cause,distal,1,0,2790,7.64,7,m
exp3,cSK4RQ,all,surprised,,lexical,distal,1,0,2790,7.64,7,m
exp3,cSK4RQ,all,surprised,,cause,proximal,0,1,2790,7.64,7,m
exp3,6VEFP4,all,scared,,cause,proximal,0,1,2850,7.8,7,f
exp3,6VEFP4,all,scared,,lexical,proximal,0,1,2850,7.8,7,f
exp3,6VEFP4,all,surprised,,cause,distal,1,0,2850,7.8,7,f
exp3,6VEFP4,all,surprised,,lexical,proximal,0,1,2850,7.8,7,f
exp3,WCBARE,all,scared,,lexical,proximal,0,1,2580,7.06,7,f
exp3,WCBARE,all,scared,,cause,proximal,0,1,2580,7.06,7,f
exp3,WCBARE,all,surprised,,lexical,distal,1,0,2580,7.06,7,f
exp3,WCBARE,all,surprised,,cause,distal,1,0,2580,7.06,7,f
exp3,C3FJ6K,all,surprised,,lexical,proximal,0,1,2100,5.75,5,m
exp3,C3FJ6K,all,surprised,,cause,distal,1,0,2100,5.75,5,m
exp3,C3FJ6K,all,scared,,lexical,proximal,0,1,2100,5.75,5,m
exp3,C3FJ6K,all,scared,,cause,distal,1,0,2100,5.75,5,m
exp3,PZdYdQ,all,scared,,lexical,proximal,0,1,2220,6.08,6,m
exp3,PZdYdQ,all,scared,,cause,distal,1,0,2220,6.08,6,m
exp3,PZdYdQ,all,surprised,,lexical,distal,1,0,2220,6.08,6,m
exp3,PZdYdQ,all,surprised,,cause,distal,1,0,2220,6.08,6,m
exp3,MFDGcd,all,scared,,lexical,proximal,0,1,1500,4.11,4,f
exp3,MFDGcd,all,scared,,cause,proximal,0,1,1500,4.11,4,f
exp3,MFDGcd,all,surprised,,lexical,proximal,0,1,1500,4.11,4,f
exp3,MFDGcd,all,surprised,,cause,proximal,0,1,1500,4.11,4,f
exp3,NCAH2T,all,surprised,,lexical,proximal,0,1,1320,3.61,3,f
exp3,NCAH2T,all,surprised,,cause,distal,1,0,1320,3.61,3,f
exp3,NCAH2T,all,scared,,lexical,proximal,0,1,1320,3.61,3,f
exp3,NCAH2T,all,scared,,cause,distal,1,0,1320,3.61,3,f
exp3,dZA62K,all,scared,,lexical,proximal,0,1,3420,9.36,9,f
exp3,dZA62K,all,scared,,cause,proximal,0,1,3420,9.36,9,f
exp3,dZA62K,all,surprised,,lexical,proximal,0,1,3420,9.36,9,f
exp3,dZA62K,all,surprised,,cause,proximal,0,1,3420,9.36,9,f
exp3,ZLEXGP,all,scared,,cause,distal,1,0,2640,7.23,7,f
exp3,ZLEXGP,all,scared,,lexical,proximal,0,1,2640,7.23,7,f
exp3,ZLEXGP,all,surprised,,cause,distal,1,0,2640,7.23,7,f
exp3,ZLEXGP,all,surprised,,lexical,proximal,0,1,2640,7.23,7,f
exp3,5TABc6,all,surprised,,lexical,proximal,0,1,2760,7.56,7,f
exp3,5TABc6,all,surprised,,cause,proximal,0,1,2760,7.56,7,f
exp3,5TABc6,all,scared,,lexical,proximal,0,1,2760,7.56,7,f
exp3,5TABc6,all,scared,,cause,proximal,0,1,2760,7.56,7,f
exp3,TDBDGQ,all,surprised,,cause,proximal,0,1,2940,8.05,8,m
exp3,TDBDGQ,all,surprised,,lexical,proximal,0,1,2940,8.05,8,m
exp3,TDBDGQ,all,scared,,cause,proximal,0,1,2940,8.05,8,m
exp3,TDBDGQ,all,scared,,lexical,proximal,0,1,2940,8.05,8,m
exp3,NS726Z,all,scared,,lexical,proximal,0,1,2250,6.16,6,f
exp3,NS726Z,all,scared,,cause,distal,1,0,2250,6.16,6,f
exp3,NS726Z,all,surprised,,lexical,proximal,0,1,2250,6.16,6,f
exp3,NS726Z,all,surprised,,cause,distal,1,0,2250,6.16,6,f
exp3,7J734A,all,scared,,lexical,proximal,0,1,3540,9.69,9,m
exp3,7J734A,all,scared,,cause,distal,1,0,3540,9.69,9,m
exp3,7J734A,all,surprised,,lexical,proximal,0,1,3540,9.69,9,m
exp3,7J734A,all,surprised,,cause,distal,1,0,3540,9.69,9,m
exp3,E45c6A,all,surprised,,lexical,proximal,0,1,2760,7.56,7,f
exp3,E45c6A,all,surprised,,cause,distal,1,0,2760,7.56,7,f
exp3,E45c6A,all,scared,,lexical,proximal,0,1,2760,7.56,7,f
exp3,E45c6A,all,scared,,cause,distal,1,0,2760,7.56,7,f
exp3,dA5QKQ,all,surprised,,lexical,proximal,0,1,1260,3.45,3,m
exp3,dA5QKQ,all,surprised,,cause,proximal,0,1,1260,3.45,3,m
exp3,dA5QKQ,all,scared,,lexical,distal,1,0,1260,3.45,3,m
exp3,dA5QKQ,all,scared,,cause,distal,1,0,1260,3.45,3,m
exp3,QLdPAW,all,surprised,,cause,distal,1,0,2160,5.91,5,f
exp3,QLdPAW,all,surprised,,lexical,proximal,0,1,2160,5.91,5,f
exp3,QLdPAW,all,scared,,cause,distal,1,0,2160,5.91,5,f
exp3,QLdPAW,all,scared,,lexical,proximal,0,1,2160,5.91,5,f
